Name,type,vads-name,uswds-design-token,value-from-uswds-design-token,vads-alias,description,value-from-vads-alias
vads-font-line-height-body-lead,Semantic,vads-font-line-height-body-lead,uswds-system-font-line-height-6,1.75,,Line height for lead paragraphs,
vads-font-line-height-default,Semantic,vads-font-line-height-default,uswds-system-font-line-height-4,1.5,,Default line height for paragraphs,
vads-font-line-height-heading,Semantic,vads-font-line-height-heading,uswds-system-font-line-height-2,1.2,,Default line height for headings. Was 1.3,
vads-font-size-body-large,Semantic,vads-font-size-body-large,uswds-system-font-size-8,20px,,Largest body font size,
vads-font-size-body-lead,Semantic,vads-font-size-body-lead,,,vads-font-size-body-large,Lead font size for body text. For lead paragraphs.,20px
vads-font-size-body-medium,Semantic,vads-font-size-body-medium,uswds-system-font-size-6,17px,,Medium body font size,
vads-font-size-body-small,Semantic,vads-font-size-body-small,uswds-system-font-size-4,15px,,Smallest body font size,
vads-font-size-eyebrow,Semantic,vads-font-size-eyebrow,,,vads-font-size-base,Eyebrow is an experimental request which adds type above an h1.,17px
vads-font-size-heading-level-1,Semantic,vads-font-size-heading-level-1,uswds-system-font-size-14,40px,,Heading level 1. h1 value.,
vads-font-size-heading-level-2,Semantic,vads-font-size-heading-level-2,uswds-system-font-size-12,32px,,Heading level 2. h2 value. Was 30px,
vads-font-size-heading-level-3,Semantic,vads-font-size-heading-level-3,uswds-system-font-size-8,20px,,Heading level 3. h3 value.,
vads-font-size-heading-level-4,Semantic,vads-font-size-heading-level-4,uswds-system-font-size-6,17px,,Heading level 4. h4 value.,
vads-font-size-heading-level-5,Semantic,vads-font-size-heading-level-5,uswds-system-font-size-4,15px,,Heading level 5. h5 value.,
vads-font-size-heading-level-6,Semantic,vads-font-size-heading-level-6,uswds-system-font-size-4,15px,,"Heading level 6. h6 value. h6 is also sans-serif, unlike other headers.",